S No,Name of the sender of information,
,,Date of Receiving in the
209,Samdaishi Samaj Party,16 11 2023
210,Jan Rashtrawadi Sangathan,16 11 2023
211,Bharastachai Apraadh Mukt Nyay Dal,16 11 2023
212,Justice Party,16 11 2023
,Nail Panchayat Paity,
,Jai Bharat Party,
,Rashtiiya Aikta Manch Party,
,Samata Party,
,Rashtiawadi Sena,
,Bhaitiya Janta Dal (Integiated),
,National Target Party,
,Sarv Jan Party (Bharat),
,Rashtriya Ekta Party,
,Bhartiya Rashtrawadi Party,
,Janata Dal (Seculai),
,Communist Party of India (Marxist-,
,Leninist) Liberation,
,Sarvlokhit Samaj Party,
,Bharatiya Libeiai Party,
225,Navodaya Jantantiik Party,16 1 1 2023 (By e-mail)
226,Sarvlokhit Samaj Party,17 1 1 2023
227,Keiala Congress Seculai,17 1 1 2023
228,Aapka Hamara Party,17 1 1 2023
229,Hamdard Party,17 1 1 2023
230,Akhil Bhartiya Janata Sahara Party,17 1 1 2023
231,Himachal Janta Party,17 1 1 2023
232,Rashtiiya Samta Vikas Party,17 1 1 2023
233,Janasena Party,17 1 1 2023
234 &,Prithviraj Janshakti Party (2 Envelopes),17 1 1 2023
235,,
236,All Indian Republican Party,17 1 1 2023
237,Telangana Yuva Shakti,17 11 2023
238,All India Samata Party,17 11 2023
239,Aam Bhaiat Party,17 11 2023
240,Party Name not Mentioned,17 11 2023
,"(received from Dr P C Patel, Mehsana)",
241,Azad Hindustan Party,17 11 2023
242,Bhaiatiya Inqalab Party,17 11 2023 received thiough CEO Bihai
243,Desh Bhakt Party,17 11 2023
244,Thamizhaga Diavidar Katchi,17 11 2023
245,Rashtriya Swaran Dal,17 11 2023
246,Bhaitiya Mahashakti Morcha,17 11 2023
247,Adaish Vyawastha Party,17 11 2023
248,Niz Goenkar Revolution Front,17 11 2023
249,Krupaa Party,17 11 2023
250,Lok Rashtiiya Party Seculai (R),17 11 2023
251,Kamarajar Makkal Katchi,17 11 2023
252,Thakkam Katchi,17 11 2023
253,Uttama Prajaakeeya Party,17 11 2023
254 &,Jananayaka Makkal Rajjiyam (2,18 11 2023
255,envelopes),
256,Rashtriya Ambedkar Dal,18 11 2023
257,Rashtiiya Democratic Front,18 11 2023
258,Uttai Piadesh Republican Party,18 11 2023
259,Aiunachal Demociatic Party,18 11 2023
260,Sudhaiwadi Party,18 11 2023
261,Bhaiatiya Kisan Vikas Party,18 11 2023
262,Rashliiya Swatantra Party,18 11 2023
263,Nava Bharat National Party,
,,18 11 2023
264,Kongunadu Makkal Desia Katchi,18 11 2023
265,MMK Party,18 11 2023
266,Hindustan Peoples Party (Democratic),18 11 2023
267,Mang Samaj Party,18 11 2023
268,Karnataka Praja Party,18 11 2023
269,Bhaiatiya Mazdoor Janta Party,18 11 2023
270,Rakshak Jan Moicha Party,18 11 2023
271,Bharatiya Suheldev Janata Party,18 11 2023
111,Sarvar Paity,18 11 2023
273,Party name not mentioned,18 11 2023
,(leceived from Mogaraiu Ramaniah),
274,Lok Nirman Dal,18 11 2023
275,Hindu Samaj Party,18 11 2023
276,Janasena,18 11 2023
,,"(received through CEO, Telangana)"
111,Makkal Needhi Maiam,18 11 2023
278,Nyaydhaim Sabha,18 11 2023 (by e-mail)
279,Paschimanchal Vikas Party,19 11 2023 one packet
,,"(Received through CEO, Odisha 02 parties"
,Kruppa Party,as mentioned on the covering lettei of the
,,CEO)
280,Akhil Bhaitiya Janta Sahara Party,19 11 2023
,Saivar Party,"(Received through CEO, Uttar Pradesh 05"
,Bhartiya Mahashakti Moicha,"parties, which are mentioned on the"
,Prithviraj Janshakti Party,covering letter from CEO)
,Vishwanath Piatap Janta Dal,
,Received in the morning of 20/11/2023,
281,Maixist Communist Party of India,
,20 1 1 2023,
,(United),
282,Bahujan Left Party 20 1 1 2023,
283,Lokshashan Party of India 20 1 1 2023,
284,Telangana Communist Party of India 20 1 1 2023,
285,Bharatiya Manavadhikar Federal Party 20 1 1 2023,
286,Vijaya Janata Paity 20 1 1 2023,
287,J&K Peoples Democratic Party 20 1 1 2023,
288,Pashchimanchal Vikas Paity 20 1 1 2023,
289,"I N C , Rajeev Bhavan, Shankar Nagar, 20 1 1 2023",
,"Raipui, Chhattisgarh",
290,Nethaji Makkal Katchi 20 1 1 2023,
291,Poorv Sainik All India Dalit evam Niibal 20 1 1 2023,
,Vaig Vikas Party,
292,U+ 20 1 1 2023,
,nited Democratic Fiont Secular,
293,Kannada Deshada Paksha 20 1 1 2023,
294,Bhartiya Jan Vikas Aghadi 20 1 1 2023,
295,RPl-Kainataka 20 1 1 2023,
296,Patiiotic Party of India 20 1 1 2023,
297,Rashtriya Janshanti Party 20 1 1 2023,
298,Maulik Adhikar Party 20 1 1 2023,
299,Suheldev Bhaitiya Samaj Party 20 1 1 2023,
300,Lokshashan Andolan Party 20 1 1 2023,
301,Himachal Jankranti Party 20 1 1 2023,
302,Gaiib Kranti Party 20 1 1 2023,
303,United Republic of Bhaiath Party,20 11 2023
304,Jan Samruddhi Party,20 1 2023
305,Swadeshi Ekta Manch,20 1 2023
306,"APP Paity, Vellore, Tamilnadu",20 11 2023
307,Amma Makkal Munnettia Kazagam,20 11 2023
308,National Aman Party,20 11 2023
309,Bhaiat Peoples Sena,20 11 2023
